,marker_0x,marker_0y,marker_1x,marker_1y,size_x,size_y,scale
Al Basrah,-160000,-160000,160000,160000,3200,3200,1.28
Belaya,-195400,182500,195000,-208000,3904,3905,1.049180328
Chora Valley,-246400,-266400,159990,140000,4063.9,4064,1.007898816
Fools Road,-128857.8906,-132576.9219,44722.125,44805.07813,1735.800156,1773.82,2.359718862
Gorodok,-207000,227000,227000,-207000,4340,4340,0.9437788018
Jensens Range,-72300.75,-54409.25,78780.78125,96522.64844,1510.815313,1509.318984,2.712762435
Kokan,-107634.9375,-107566.75,142013.6719,142013.6719,2496.486094,2495.804219,1.641157144
Kohat Toi,-200000,-200000,201700,201700,4017,4017,1.019666418
Logar Valley,-88145.14063,-113238.7578,87978.32813,62921.71094,1761.234688,1761.604688,2.325687032
Mestia,-120000,-110000,120000,130000,2400,2400,1.706666667
Narva,-138970.6875,139792.5156,141029.375,-140207.4375,2800.000625,2799.999531,1.462857143
OP First Light,-110000,-110000,10000,10000,1200,1200,3.413333333
Yehorivka,-201700,201700,201700,-201700,4034,4034,1.01536936
